Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Start_Temp_C,Start_Wind_kmh,Start_Wind_Degree,Start_Humidity,Start_Precip_mm,match_id,Start_Conditions_clear_sky,Start_Conditions_cloudy,Start_Conditions_fog,Start_Conditions_heavy_rain,Start_Conditions_moderate_rain,Start_Conditions_rain,Start_Conditions_snow,Start_Conditions_thunderstorm,End_Conditions_clear_sky,End_Conditions_cloudy,End_Conditions_fog,End_Conditions_heavy_rain,End_Conditions_moderate_rain,End_Conditions_rain,End_Conditions_snow,TMKO,AFTHG,AHS,AHST,AHC,AHF,AHY,AHR,AFTAG,AAS,AAST,AAC,AAF,AAY,AAR,PHFR_Won,PHFR_NotWin,PAFR_Won,PAFR_NotWin,PFTHG,PHS,PHST,PHC,PHF,PHY,PHR,PFTAG,PAS,PAST,PAC,PAF,PAY,PAR,TBGH,TBGA,NOWH,NOWA,ATBGH,ATBGA,HomeMomentum,AwayMomentum,AwayDistTravelled
2019-08-09 00:00:00,20:00,Liverpool,Norwich,H,4,1,15,12,7,5,11,2,9,9,0,2,0,0,18.6,27.72,180,77,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,299.33350446535354
2019-08-10 00:00:00,12:30,West Ham,Man City,A,0,5,5,14,3,9,1,1,6,13,2,2,0,0,21.39,37.08,230,63,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,261.85950133766113
2019-08-10 00:00:00,15:00,Bournemouth,Sheffield United,D,1,1,13,8,3,3,3,4,10,19,2,1,0,0,19.14,46.44,250,74,0.0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,294.10460063628267
2019-08-10 00:00:00,15:00,Burnley,Southampton,H,3,0,10,11,4,3,2,7,6,12,0,0,0,0,16.33,25.38,236,96,2.29,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,325.6155150873398
2019-08-10 00:00:00,15:00,Crystal Palace,Everton,D,0,0,6,10,2,3,6,2,16,14,2,1,0,1,20.94,44.28,230,65,0.0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,299.37675293562796
2019-08-10 00:00:00,15:00,Watford,Brighton,A,0,3,11,5,3,3,5,2,15,11,0,1,0,0,20.96,40.68,230,66,0.0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,90.34720845093325
2019-08-10 00:00:00,17:30,Tottenham,Aston Villa,H,3,1,31,7,7,4,14,0,13,9,1,0,0,0,20.54,31.68,220,63,0.0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,159.93962959614828
2019-08-11 00:00:00,14:00,Leicester,Wolves,D,0,0,15,8,1,2,12,3,3,13,0,2,0,0,17.62,18.11,260,69,0.0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,66.80878599949996
2019-08-11 00:00:00,14:00,Newcastle,Arsenal,A,0,1,9,8,2,2,5,3,12,7,1,3,0,0,14.03,11.16,40,99,0.82,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,393.41555539837157
2019-08-11 00:00:00,16:30,Man United,Chelsea,H,4,0,11,18,5,7,3,5,15,13,3,4,0,0,16.3,22.32,270,77,0.0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,262.2497214466526
